deutsch,english
einzuführen,to introduce
Fronten,Fronts
Podium,podium
einheitlichen,uniform
abgeschoben,deported
Löcher,Holes
feinen,fine
wagt,dares
trage,wear
bewegte,moved
Mehmet,Mehmet
Erleichterung,relief
Brandenburger,Brandenburg
Jesus,Jesus
Roman Herzog,Roman Herzog
Versicherten,Insured persons
National,National
zweitens,secondly
vorab,in advance
äußerten,expressed
la,la
Gerhardt,Gerhardt
Ilse,Ilse
amtierende,incumbent
Protesten,protests
Lernen,Learn
Klang,sound
bemerkbar,noticeable
Zeugnis,Transcript
Tätigkeiten,Activities
William,William
ehemaligen Jugoslawien,former Yugoslavia
Jena,Jena
Philosophen,philosophers
ungewiß,uncertain
rollen,roll
gewertet,rated
sonstige,other
verrückt,crazy
bezeichneten,designated
gegenwärtige,current
Vorwürfen,accusations
souverän,sovereign
geschlossene,closed
blutigen,bloody
Güter,goods
Lokal,Local
ausreichen,sufficient
abgerissen,demolished
Marsch,march
Frühling,Spring
aufhören,stop
T,T
osteuropäischen,Eastern European
sozialistische,socialist
Verhaftung,arrest
Hahn,Faucet
mutmaßliche,presumably
Optionen,Options
Bremerhaven,Bremerhaven
erforderliche,required
gegeneinander,against each other
Erfinder,inventor
bewerben,apply
ungarischen,Hungarian
Momente,moments
kleinste,smallest
entführt,kidnapped
kräftige,powerful
V.,V.
einnehmen,take
Anstalt,Institution
Körpers,body
frühe,early
Zimmermann,carpenter
Mathematik,mathematics
Texas,Texas
DAG,DAG
befördert,promoted
externen,external
Schwere,Severe
Malaysia,Malaysia
einseitig,one-sided
vereint,united
Company,Company
geeigneten,suitable
unterstützte,supported
geübt,practiced
begraben,buried
Volkspartei,People's Party
geteilt,divided
Prüfungen,Exams
Konsum,consumption
Arena,arena
nachdenken,ponder
theoretisch,theoretically
kg,kg
Insekten,insects
grundlegende,basic
Entwürfe,Designs
empfinden,feel
Haufen,heap
zunehmen,gain weight
Betrachtung,contemplation
umfassen,include
Offenheit,openness
Albaner,Albanians
Szenario,scenario
kopieren,copy
glatt,smooth
wöchentlich,weekly
verkraften,cope
Techniker,technician
hervorragende,excellent
saniert,renovated
Todes,death
dominiert,dominates
sichert,secures
Netze,Networks
Kalkulation,calculation
Heft,Notebook
Aufsteiger,Up-and-coming
veröffentlichen,publish
Tonne,tonne
Tel,Tel
kehren,return
verfaßt,written
Champions League,Champions League
Föderation,federation
Fertigstellung,completion
Formular,Form
Herausforderungen,challenges
Landschaften,Landscapes
angegebenen,specified
verbreitete,widespread
entworfen,designed
Referendum,referendum
attraktiver,attractive
örtliche,local
warm,warm
Niedergang,decline
meldeten,reported
Eintracht,Eintracht
verärgert,annoyed
komplizierten,complicated
kommunale,municipal
Bestellungen,Orders
Spektakel,spectacle
einführen,introduce
Donau,Danube
Krankenhäusern,hospitals
Luxus,luxury
geringeren,lower
Diagnose,diagnosis
Streß,Stress
Wiederholung,Repetition
Wahlgang,election
Überraschungen,Surprises
veranschlagt,estimated
Weiterhin,Furthermore
Geschäftsmann,businessman
Verfall,decay
morgigen,tomorrow
toten,kill
großzügig,generous
Europameisterschaft,European Championship
bestellen,order
kurdischen,Kurdish
Kollegin,colleague
wozu,for what reason
besseres,better
Prozesses,process
Plakate,posters
Heidelberger,Heidelberg
Selbständigkeit,independence
korrigieren,correct
Tendenzen,Trends
hinauf,up
zerstörten,destroyed
Clubs,Clubs
Stamm,tribe
fein,fine
entgehen,escape
abgelaufenen,expired
heftiger,more intense
SPD-Politiker,SPD politician
nebenan,next door
gesunden,healthy
ausgetauscht,exchanged
Bosniens,Bosnia
schützt,protects
Standorten,Locations
gewaltig,enormous
Angela,Angela
Sparkasse,Sparkasse
Duo,duo
Bedürfnis,Need
Friedens,Peace
Stücken,pieces
Löschen,Delete
herrschen,prevail
beschleunigen,accelerate
Beamter,civil servant
Nordkorea,North Korea
regelmäßigen,regular
Wörter,Words
fliehen,flee
transportieren,transport
Nachdruck,Reprint
Erna,Erna
Jacques Chirac,Jacques Chirac
einzeln,individually
Ausschluß,Exclusion
Porträt,portrait
doppelten,double
jedesmal,every time
BVG,BVG
erledigen,complete
trocken,dry
Rückgabe,return
kennengelernt,met
Flüge,Flights
Etappe,stage
wählte,chose
Tochtergesellschaft,subsidiary
Vorurteile,Prejudices
reist,travels
Eher,Rather
Mittelstand,Medium-sized businesses
Beton,concrete
Abfahrt,departure
Anhängern,followers
eindeutige,unambiguous
Gießen,Pour
anmelden,register
Tee,tea
Spiels,Game
Bundesinnenminister,Federal Minister of the Interior
Umlaufrendite,Yield
hinterlegt,stored
palästinensische,Palestinian
ländlichen,rural
entkommen,escape
Sicherheitskräfte,Security forces
Bürokratie,bureaucracy
diplomatischen,diplomatic
Botschaften,Messages
siebten,seventh
stünde,would stand
Ausgerechnet,Of all things
Wiederwahl,Re-election
verstehe,understand
Sonstige,Other
las,las
Mönchengladbach,Mönchengladbach
Bundesgebiet,Federal territory
gewartet,waited
Regierungskoalition,Governing coalition
Lübecker,Lübeck
verfehlt,missed
Tschechen,Czechs
Versuchen,Attempt
Freiheitsstrafe,Prison sentence
Hose,trousers
Schwerin,Schwerin
Chemnitz,Chemnitz
ausgenommen,except
hiesigen,local
Segen,blessing
Ästhetik,aesthetics
Verständigung,understanding
elektrische,electric
geschenkt,gift
schrittweise,step by step
Somalia,Somalia
Übergabe,handover
Somit,Thus
entspreche,corresponds
schier,sheer
Maus,Mouse
Erkrankung,disease
abbauen,tear down
Redner,Speaker
internationales,international
parlamentarische,parliamentary
Sammler,Collectors
Kommando,command
erregt,excited
Bischöfe,Bishops
Saarbrücken,Saarbrücken
feierten,celebrated
ausgerüstet,equipped
Mr.,Mr.
Unsinn,nonsense
fünfziger Jahren,fifties
knappe,scarce
kritisierten,criticized
Album,album
Media,Media
Durchgang,passage
radikal,radical
aufgestockt,increased
Kneipe,Bar
Kopenhagen,Copenhagen
Zweite,Second
Dichters,poet
anzulegen,to create
bezweifelt,doubts
Offenbacher,Offenbach
Systematische,Systematic
Gesundheitswesen,healthcare
Funk,radio
härter,harder
verbrannt,burned
Bad Vilbel,Bad Vilbel
Vertrages,contract
Corporation,Corporation
Geldstrafe,fine
überwachen,monitor
Wiederaufnahme,Resumption
gelegene,located
künstlich,artificially
gefangen,caught
gewordene,become
Bekannten,acquaintances
Scheidung,divorce
isoliert,isolated
rasche,rapid
bestritt,denied
Schülerinnen,female students
Psychologie,psychology
gewollt,intentional
veranstalten,organize
eingegeben,entered
qm,square meter
Zweitens,Secondly
Arbeitslosenquote,unemployment rate
Salzburg,Salzburg
gerissen,torn
erobern,conquer
Verlusten,losses
Favorit,favorite
Betroffene,Affected
empfahl,recommended
Produktionen,Productions
Sagen,Say
Flughafens,airport
sechzig,sixty
trieb,drive
t,t
Wirtschaftsministerium,Ministry of Economic Affairs
Neuseeland,New Zealand
Kolumbien,Colombia
Aufteilung,Division
Schritten,steps
schönste,most beautiful
größtenteils,mostly
Handlungen,actions
Hammer,hammer
denselben,the same
Doktor,doctor
ungeachtet,regardless
Erhebung,survey
Heimatstadt,hometown
vorrangig,priority
Meisterschaften,Championships
Martina,Martina
Profit,profit
Belange,concerns
net,net
SAP-System,SAP system
verursachen,cause
Zivilisation,civilization
umgebracht,killed
Guten,Good
Sohnes,son
Entweder,Either
Kranke,Sick
zwingend,mandatory
wofür,for what
benötigte,required
sammelt,collects
rtr,rtr
Gift,Poison
Vermittler,mediator
langsamer,slower
Buchungen,Bookings
Unterbringung,Accommodation
Bindung,binding
Durchmesser,diameter
eigenständige,independent
Richtungen,Directions
renommierten,renowned
Verdienst,Earnings
pünktlich,on time
bekanntesten,most well-known
Kennzahlen,Key figures
Kader,squad
verfallen,expire
verbraucht,consumed
friedlichen,peaceful
gelandet,landed
Sindelfingen,Sindelfingen
BSE,BSE
Jahrhundertwende,turn of the century
Fußballer,footballer
Handels,trade
Intervention,intervention
Klientel,clientele
aufgeteilt,divided
belohnt,reward
StZ,StZ
Gefährdung,Hazard
hilflos,helpless
Adam,Adam
problematisch,problematic
freiwilligen,voluntary
Spaniens,Spain's
null,zero
aktivieren,activate
abzubauen,to dismantle
Sports,Sports
dokumentieren,document
Anbau,Cultivation
wecken,wake up
erschüttert,shaken
westlicher,western
kommerziellen,commercial
beachtet,noted
arbeite,work
Kugel,Bullet
Töpfer,potter
Anregungen,Suggestions
WDR,WDR
ewigen,eternal
gerieten,got
Kardinal,cardinal
Afghanistan,Afghanistan
Terrain,terrain
beschlagnahmt,confiscated
bemerkte,noticed
schwebt,floats
Überschuß,Excess
verbotenen,forbidden
künstlichen,artificial
Abteilungsleiter,Head of Department
Krisen,Crises
Olympiastadion,Olympic Stadium
Nordosten,Northeast
abschließen,complete
ausgeweitet,expanded
Reifen,Tires
Rabin,Rabin
Bestände,Inventories
Einspruch,Objection
fühlten,felt
Sparen,Save
Gärten,Gardens
Vernehmen,Hear
zurückliegenden,past
aufweisen,exhibit
Wahnsinn,Craziness
versammelten,assembled
Autobahnen,motorways
birgt,harbors
Schauplatz,Scene
Folter,torture
Bauen,Build
interessierten,interested
Match,match
Bundesstraße,Federal highway
Siedlungen,settlements
befunden,found
etablieren,establish
Ausscheiden,Elimination
Services,Services
Indianer,Native Americans
Ausrüstung,equipment
AOK,AOK
Jahrhunderten,centuries
zeitgenössischen,contemporary
Weißen,White
Mitarbeiterin,employee
auskommen,get by
Sat 1,Sat 1
blockieren,block
Aktiengesellschaft,Public limited company
verletzte,injured
Lebensmitteln,food
Tragen,Carry
Kasten,Crate
besichtigen,view
Vorliebe,preference
entnommen,taken
Georgios,Georgios
Halbinsel,peninsula
verschwand,disappeared
Hauptsache,The main thing
britischer,British
GUS,CIS
Verzögerung,delay
Unterzeichnung,signing
ergaben,resulted
inhaltlich,content
Streichung,Deletion
Ökologie,ecology
Irmgard,Irmgard
ergriffen,seized
erteilen,grant
Zielgruppe,Target audience
grundsätzliche,fundamental
zeichnete,drew
reißt,tears
Holger,Holger
gestimmt,voted
Blüten,flowers
Pathos,pathos
gewechselt,changed
übte,practiced
darzustellen,to represent
Ludwigsburger,Ludwigsburg
Nachkriegszeit,Post-war period
Island,Iceland
Jahrgang,vintage
intensiver,more intense
überwacht,monitored
Pflichten,duties
verschont,spared
operiert,operated on
künstliche,artificial
drohende,impending
Medikamenten,medication
aufgebracht,agitated
Sterben,Die
Arbeitnehmern,employees
Reserven,reserves
Strahlung,radiation
Verlagerung,Relocation
bekennt,confesses
Konzernumsatz,Group revenue
klappt,works
Wortes,Word
Versagen,Fail
Ecken,corners
Regierungspräsidium,Regional Council
Rezept,Recipe
Attraktivität,attractiveness
gestattet,permitted
Fahnen,Flags
Turbulenzen,Turbulence
US-Regierung,US government
Tel Aviv,Tel Aviv
reichten,sufficient
Fremden,strangers
nutzten,used
Warten,Wait
Johnson,Johnson
grün,green
zügig,quickly
ähnlicher,similar
erstreckt,extends
Johanna,Johanna
baden-württembergische,Baden-Württemberg
absolviert,completed
Misere,Misery
Ingenieur,engineer
Montage,Assembly
kandidieren,run for office
Gruppierungen,Groups
scheitert,fails
Gesten,Gestures
Realismus,realism
Trends,Trends
europaweit,Europe-wide
Volker Rühe,Volker Rühe
dumm,dumb
Briefen,letters
Inge,Inge
psychisch,psychological
vereinbarte,agreed
Attacken,attacks
energisch,energetic
Treppe,Stairs
Abteilungen,Departments
Sperre,Block
Entspannung,relaxation
Wegfall,Elimination
Sehen,See
Todesstrafe,capital punishment
Händlern,dealers
gerückt,moved
Zwölf,Twelve
Einigkeit,unity
Dublin,Dublin
niedrigeren,lower
ausreichende,sufficient
vergleichbaren,comparable
alternative,alternative
Achtung,Danger
wahrnehmen,perceive
riefen,called
Kirchengemeinde,Parish
unglaublich,incredible
Provinzen,Provinces
Freispruch,acquittal
ergreifen,seize
gezielte,targeted
qualifiziert,qualified
erfolgreichsten,most successful
spart,saves
trauen,trust
Vorbehalte,Reservations
Jubel,Cheers
Mittag,Midday
Absprache,Agreement
vermehrt,more
rückte,moved
bestenfalls,at best
Ihres,Yours
Darsteller,Performer
ablehnen,refuse
vorausgesetzt,provided
sozialdemokratische,social democratic
konzipiert,designed
Alliierten,Allies
Laien,laypersons
Geister,Ghosts
gewählte,selected
Gorbatschow,Gorbachev
Ulrike,Ulrike
Bemerkung,remark
abseits,offside
kontrollierten,controlled
Außenseiter,outsider
Bauarbeiter,construction worker
Weltrangliste,World ranking
Erkrankungen,Diseases
mahnte,warned
Bezüge,References
gesunde,healthy
Geht,Goes
Anstoß,Kick-off
Essener,Essen
Ausstrahlung,Radiance
Server,server
Abgaben,Taxes
wundert,wonders
just,just
gezeichnet,drawn
Probe,sample
Bürgermeisterin,Mayor
Potsdamer Platz,Potsdamer Platz
Drehbuch,script
echter,real
tatsächliche,actual
Medaille,medal
beginnenden,beginning
ehemaligen DDR,former GDR
Sekte,sect
sonderlich,especially
kannst,can
CDU-Politiker,CDU politician
Musical,musical
In- und Ausland,Domestic and international
binden,bind
Prosa,prose
schlechtes,bad
freigelassen,released
Aufsicht,Supervision
zielt,aims
vertrat,represented
Lieber,Dear
heiraten,marry
Vorschrift,Regulation
körperliche,physical
lehrt,teaches
Kontinuität,continuity
verstand,mind
hilfreich,helpful
ahnen,sensues
Hannelore,Hannelore
Gewebe,tissue
Verteidigungsministerium,Ministry of Defense
Garantie,guarantee
Darmstädter,Darmstadt
Offizier,officer
verbietet,prohibits
vermeintlichen,alleged
schönes,beautiful
Import,import
agieren,act
Kleider,Dresses
Eberhard,Eberhard
Kulisse,backdrop
Geständnis,confession
verzeichnete,recorded
Per,By
Ermittlungsverfahren,Investigation proceedings
Siegen,Siege
freundliche,friendly
Gentechnik,Genetic engineering
Einsätze,missions
verleiht,lends
andern,change
integrieren,integrate
herunter,down
verbuchen,book
Verringerung,reduction
Bush,Bush
gewandt,skilled
zurückgetreten,resigned
gestiegenen,increased
übermittelt,transmitted
Aufführungen,Performances
Schöne,Beautiful
bedrohten,threatened
verletzten,injure
offenbart,reveals
Regierungssprecher,Government spokesman
Begleiter,companion
Propaganda,propaganda
erschwert,more difficult
kommunistische,communist
Rüttgers,Rüttgers
Feiern,Celebrate
verbreiteten,widespread
definierten,defined
Tarife,Tariffs
Jahreswechsel,New Year's Eve
komisch,funny
fähig,capable
entsprechendes,corresponding
Bands,Bands
Jeans,jeans
komplizierte,complicated
Gewerkschafter,trade unionist
Helsinki,Helsinki
Zuversicht,Confidence
ärgert,annoys
Maßstäbe,standards
Stau,Traffic jam
geborgen,rescued
beruhigt,reassured
zurückgenommen,withdrawn
Nasdaq,Nasdaq
Ausschreitungen,Riots
Anmeldungen,Registrations
Stadtparlament,City council
Gebot,bid
äußere,outer
verhält,behaves
Rehhagel,Rehhagel
d.,d.
Song,song
Popularität,popularity
Kategorien,Categories
Viktor,Viktor
Saddam Hussein,Saddam Hussein
überzogen,excessive
Reste,Leftovers
winzigen,tiny
spreche,speak
Parkplätze,Parking spaces
Atomwaffen,nuclear weapons
Wimbledon,Wimbledon
Messungen,Measurements
Studierenden,students
Jedoch,However
Einklang,Harmony
verborgen,hidden
Bände,Volumes
vereinbaren,agree
Problematik,Problem
Kuwait,Kuwait
überschreiten,exceed
Pop,pop
Wettkampf,competition
Marie,Marie
absurd,absurd
irgendwelche,any
Zentren,centers
Meist,Mostly
Disposition,Disposition
Dutzende,Dozens
persönlicher,personal
angestrebt,aimed for
Oslo,Oslo
Wirt,host
Ausflug,Side trip
Verdienste,Merits
englischer,English
Ernte,harvest
Private,Private
warmen,warm
Ude,Ude
OLG,Higher Regional Court
beabsichtigt,intended
Wollen,Want
Weltmarkt,World market
positives,positive
gen,gene
Fundamentalisten,Fundamentalists
regierenden,ruling
anschließenden,subsequent
Längst,Long ago
leid,sorrow
gentechnisch,genetic engineering
woher,from where
gehörende,belonging
trennt,separates
Sternen,stars
geistig,mental
Tricks,Tricks
Eintracht Frankfurt,Eintracht Frankfurt
Lehmann,Lehmann
Obst,Fruit
eingebunden,integrated
Konsortium,consortium
f,f
Diskriminierung,Discrimination
Fehlen,Miss
reale,real
Vorschlägen,Suggestions
freiwillige,voluntary
Höchst,Maximum
Mitarbeit,cooperation
Alleingang,Going it alone
Viren,Viruses
Südosten,southeast
operative,operative
Drohungen,Threats
Gorleben,Gorleben
Olympischen Spiele,Olympic Games
Großvater,grandfather
Antike,Ancient times
erbracht,provided
Rivalen,Rivals
F,F
zugegeben,admittedly
Besten,Best
aufgewachsen,grew up
Hemd,Shirt
Kommt,Comes
Spree,Spree
Bundesgerichtshof,Federal Court of Justice
geräumt,cleared
brasilianischen,Brazilian
relevanten,relevant
Kontext,context
Springer,Springer
brutal,brutally
reißen,tear
fasziniert,Charmed
Allgemeinen,General
deutschsprachigen,German-speaking
Mitgliedsstaaten,Member States
Sicherheitsrat,Security Council
Besserung,improvement
Bezirke,districts
alternativen,alternatives
Nahverkehr,local public transport
einziehen,move in
Zielen,Goals
Notenbank,Central bank
Unterdrückung,oppression
erholt,recovered
Friedberg,Friedberg
Oldenburg,Oldenburg
Eduard,Edward
Jugendarbeit,youth work
behält,retains
Rückführung,Return
Textilien,textiles
Postbank,Postbank
Genfer,Geneva
Treiben,To drive
Bewohnern,residents
Verkehrsminister,Minister of Transport
willen,will
Viag,Viag
Besondere,Special
Hosen,Pants
landet,lands
Ereignissen,events
entstandene,created
Michel,Michel
Novelle,novella
Kläger,Plaintiff
Kapitals,capital
Nahrungsmittel,food
stabile,stable
entfielen,omitted
Frust,frustration
stießen,encountered
Norbert Blüm,Norbert Blüm
beiseite,aside
weh,sore
Hill,Hill
menschlicher,human
Effekte,Effects
sofortige,immediate
Langen,Langen
Chemikalien,chemicals
historischer,historical
geführte,guided
reserviert,reserved
überstanden,survived
Untersuchungsausschuß,Committee of Inquiry
Dritten,Third
Qualitäten,Qualities
tschetschenischen,Chechen
Bundesverfassungsgerichts,Federal Constitutional Court
Auslegung,interpretation
Wettbewerber,Competitors
gleichnamigen,of the same name
Lkw,Truck
Ökonomie,Economics
Rose,rose
wilde,wild
verfügbaren,available
verdoppeln,double
Eigenschaft,Characteristic
Oberlandesgericht,Higher Regional Court
Verstärkung,Reinforcement
stürzt,falls
Einbrecher,burglar
Weiterentwicklung,Further development
kostenlose,free
Normen,Standards
begrenzen,limit
zurecht,rightly so
attraktive,attractive
Know-how,Know-how
dick,thick
anschließen,connect
Schilling,Schilling
Marokko,Morocco
Kreistag,District Council
verschlechtert,worsened
Verletzten,injured
belgische,Belgian
bestätigten,confirmed
lehnten,declined
vergangen,past
Zehntausende,Tens of thousands
angestrebte,intended
Nummern,Numbers
irischen,Irish
niedersächsische,Lower Saxony
FC Bayern München,FC Bayern Munich
sogenannter,so-called
zählten,counted
eingespart,saved
beschlossenen,decided
prinzipiell,in principle
aufzugeben,to give up
angemessene,appropriate
Prager,Prague
Bronze,Bronze
beibehalten,retain
Hartmann,Hartmann
Anlegern,investors
sprich,speak
Transaktionen,transactions
Beratungsstelle,Advice center
Landsmann,countryman
anpassen,adjust
T.,T.
IV,IV
abermals,once again
regieren,govern
Gegnern,opponents
Funktionsbaustein,Functional module
unmittelbaren,immediate
Stämme,tribes
Räder,Wheels
Stillstand,Stagnation
nirgendwo,nowhere
Kartoffeln,potatoes
industrielle,industrial
Kriminalpolizei,Criminal Police
Franzose,Frenchman
qualifizierte,qualified
Erlaubnis,Permission
Strauß,bouquet
Schwangerschaft,pregnancy
fing,started
Eberhard Diepgen,Eberhard Diepgen
Transrapid,Transrapid
Fabriken,factories
ANC,ANC
Airbus,airbus
Tagebuch,diary
islamische,Islamic
Reparatur,repair
Befragung,survey
geheimen,secret
rollt,rolls
Jutta,Jutta
Ulmer,Ulm
Fotografen,photographers
Seen,Lakes
Sozialpolitik,Social policy
Überschrift,headline
eingesetzten,deployed
angelegten,created
EZB,ECB
eingreifen,intervention
traut,trust
kleinsten,smallest
Zusagen,commitments
Milieu,milieu
mithin,therefore
Hügel,hill
anhaltende,persistent
kürzen,shorten
Faszination,fascination
Zyklus,cycle
Wolfsburg,Wolfsburg
Flüsse,rivers
betreuen,look after
Sitzungen,Meetings
Durchsetzung,enforcement
Abgang,Departure
bequem,comfortable
schwärmt,raves
appelliert,appeals
Anneliese,Anneliese
angetan,impressed
welch,which
Auftragseingang,Order receipt
beteuert,asserts
ankommt,arrives
demselben,the same
ausgezahlt,paid out
harter,harder
Intel,Intel
Politische,Political
Grafik,graphic
Anzug,Men's suit
iranische,Iranian
Metro,metro
verkörpert,embodies
zehnten,tenth
vorgetragen,presented
di,di
meinten,meant
Treue,loyalty
erörtert,discussed
widersprach,contradicted
Hunderttausende,Hundreds of thousands
Vorstandssprecher,Board spokesman
flexibel,flexible
Gras,grass
Tenor,tenor
Versionen,Versions
Kontrahenten,opponents
Nordsee,North Sea
Absichten,Intentions
abzugeben,to give away
schaden,damage
Wehrmacht,Wehrmacht
Utopie,Utopia
Marion,Marion
australischen,Australian
steigerte,increased
untersuchten,examined
Henry,Henry
dementiert,denied
unmittelbarer,immediate
Irrtum,error
gleichfalls,same to you
Paragraphen,paragraphs
Blicke,Views
repräsentiert,represents
gelbe,yellow
Irene,Irene
senden,send
geringfügig,slightly
Dunkelheit,darkness
Vorträge,lectures
Slowenien,Slovenia
Referent,Speaker
stationiert,stationed
Entlassungen,redundancies
einigten,agreed
bunt,colorful
hoffentlich,hopefully
Verbänden,associations
entsprach,corresponded
verbrachte,spent
präsentierten,presented
Fahne,banner
folglich,consequently
Erscheinen,Appear
oberhalb,above
ägyptischen,Egyptian
träumt,dreams
ausgewertet,evaluated
Hohe,Height
drückte,pressed
festgeschrieben,stipulated
University,University
verbucht,recorded
Bewag,Bewag
Nordwesten,Northwest
kaputt,broken
Einbeziehung,Inclusion
SV,SV
verdiente,earned
Pilot,pilot
Großmutter,grandmother
erfreulich,pleasing
reiste,traveled
bundesweiten,nationwide
Soweit,So far
Lohnarten,Wage types
Kokain,cocaine
Pressemitteilung,Press release
nachzudenken,to think about
angebotenen,offered
Sozialversicherung,social security
Vernehmung,Interrogation
Zuständigkeit,Responsibility
Tempel,temple
erschienenen,appeared
Fernsehens,television
Lebed,Lebed
Dietrich,Dietrich
Repertoire,repertoire
Verbündeten,Allies
frischen,fresh
Geschäftsbereich,Business area
Theologie,theology
Zucker,Sugar
schwersten,heaviest
verstärkten,reinforced
lächelt,smiles
Götter,gods
Abbildung,illustration
zweitgrößte,second largest
taten,did
Schafe,Sheep
bar,bear
vergrößert,enlarged
Philippinen,Philippines
Kursen,courses
Zimmern,Rooms
Angreifer,attacker
Bundespräsidenten,Federal Presidents
Organe,Organs
Peru,Peru
mussten,had to
lächerlich,ridiculous
gesungen,sung
aufgeklärt,explain
Getränke,drinks
externe,external
Fund,Find
DDR-Zeiten,GDR times
bezog,referred
feine,fine
Ingeborg,Ingeborg
Territorium,territory
Reis,rice
Gesamtjahr,Full year
Hubert,Hubert
beschließt,decides
Beate,Beate
Gesprächspartner,Conversation partner
Supermarkt,supermarket
Sparmaßnahmen,cost-cutting measures
Statistiken,statistics
bliebe,remain
höchster,highest
Günter Rexrodt,Günter Rexrodt
Geschlecht,Gender
Dom,Cathedral
Betreuer,Supervisor
zueinander,to each other
vorzubereiten,to prepare
Boykott,boycott
Fachleuten,experts
Dietmar,Dietmar
Computern,computers
Marktanteile,Market shares
Hartmut,Hartmut
Volkswirtschaft,economics
Ostsee,Baltic Sea
bekämpft,fights
Nähere,More details
gescheiterten,failed
Schiene,rail
selbstbewußt,confident
Bundeswirtschaftsminister,Federal Minister of Economics
Ausschreibung,Tender
Z,Z
irakische,Iraqi
Anweisungen,instructions
Verlegung,laying
Spalten,columns
Rio,Rio
Bauwirtschaft,Construction industry
Getreide,Grain
Konrad,Konrad
Selektion,selection
Litauen,Lithuania
Intensität,intensity
Elite,elite
Baden-Baden,Baden-Baden
Anruf,Call
Stärken,Strengthen
vernünftige,reasonable
nachdrücklich,emphatically
Kopie,copy
einmalig,unique
wundern,wonder
vernachlässigt,neglected
Plädoyer,plea
Messen,Measure
verließen,left
Los,Go
Handvoll,handful
Sitzen,Sit
manchem,some
Nehmen,Take
verhelfen,help
Angriffen,attacks
Peres,Peres
Sparten,divisions
indische,Indian
zivile,civilian
Symbole,Symbols
gehörenden,belonging
Kommentare,Comments
Provokation,provocation
Wünschen,Wish
außerordentlichen,extraordinary
Wählern,voters
auftritt,occurs
Prenzlauer Berg,Prenzlauer Berg
herausgefunden,found
Arbeitskräfte,workforce
dringt,penetrates
Führerschein,Driver's license
registrieren,register
befragten,interviewed
runter,down
Dirigent,conductor
vernünftig,reasonable
Schmitt,Schmitt
Festivals,Festivals
angenehm,pleasant
Wiederherstellung,Restoration
virtuelle,virtual
Mustafa,Mustafa
Grad Celsius,degrees Celsius
nützt,useful
Zügen,trains
schienen,rails
Großhandel,wholesale
jüdischer,Jewish
Sony,Sony
Geplant,Planned
Sondersitzung,Special session
Nagel,nail
Einwanderer,Immigrants
Entschuldigung,Excuse me
Evangelische,Protestant
Erforschung,exploration
Gulden,gulden
Ambiente,Ambience
eingetroffen,arrived
Schreiber,Writer
seltsam,strange
Kleinstadt,small town
gelitten,suffered
mitteilt,informs
Philips,Philips
Weißrußland,Belarus
Angela Merkel,Angela Merkel
Steuerhinterziehung,tax evasion
Finanzpolitik,Fiscal policy
Hafenstadt,port city
derlei,such
dunkel,dark
Typs,Types
Halt,Stop
abzusehen,to be foreseeable
Story,story
bevorstehende,upcoming
weitergegeben,passed on
Hierbei,This
Mittelfeldspieler,midfielder
Schmid,Schmid
Kurve,curve
engagierten,committed
Heer,army
analysieren,analyze
einheimischen,local
Abriß,Demolition
Absicherung,Security
Besonderes,Special
Kritikern,critics
jeglicher,any
Bundesbahn,German Federal Railway
abgewiesen,rejected
Einerseits,On the one hand
obendrein,Moreover
Wohnraum,Living space
Widersprüche,Contradictions
Mostar,Mostar
Initiatoren,initiators
Haaren,Hair
wartete,waited
Merkel,Merkel
militärisch,military
Übung,Exercise
tagsüber,during the day
unterliegen,are subject
Romantik,romance
vierzehn,fourteen
nebeneinander,side by side
Eroberung,conquest
Winkel,angle
gefährlicher,dangerous
Oberstaatsanwalt,Senior Public Prosecutor
Bundesaußenminister,Federal Foreign Minister
Wahlsieg,election victory
Global,Global
Quartett,quartet
erneuert,renewed
Grundsätze,Principles
sog,so-called
Effizienz,Efficiency
Philosoph,philosopher
Treff,Meeting
glaubten,believed
Amtsantritt,Inauguration
Dörfern,villages
Bühnen,stages
ne,no
herzlich,heartfelt
Nachdenken,Ponder
ergänzte,added
Sponsor,sponsor
Entschluß,Decision
Behinderten,disabled
meiste,most
Wunden,wounds
Personalabbau,Staff reduction
geflohen,fled
geehrt,honored
Höhen,Heights
gelernte,learned
Recherchen,research
Helene,Helene
sportlich,sporty
angehen,approach
etablierten,established
unterlag,was defeated
Rinder,Bovine
Dreck,dirt
Ei,egg
e,e
Allgemeine,General
Grundgesetzes,Basic Law
Ostberliner,East Berliners
Hindernis,obstacle
Technische,Technical
Repräsentanten,Representatives
umgebaut,rebuilt
Scheibe,disc
nominiert,nominated
Statistische,Statistical
Kenia,Kenya
drastische,drastic
angeführt,listed
Überdies,Moreover
Fiskus,treasury
Plastik,plastic
verbliebenen,remaining
verzichtete,waived
Blockade,blockade
Mama,mama
Entwicklungshilfe,Development aid
Verbund,network
Tiger,tiger
ruhen,rest
fortgeschrieben,continued
mithalten,keep up
namentlich,namely
verwandt,related
Engagements,Engagements
Anne,Anne
absehbarer,foreseeable
Schluss,Ending
Konstanz,Constance
Gen,gene
Veto,veto
knapper,narrower
wiederholte,repeated
Scheiben,discs
frische,fresh
verkünden,announce
wirkten,had an effect
Anbietern,Providers
mächtige,powerful
Jakob,Jakob
Vorgehensweise,Procedure
Haushalten,households
Olga,Olga
Saudi-Arabien,Saudi Arabia
